month,employment
January 2016,17871.6
February 2016,17889.0
March 2016,17892.8
April 2016,17919.7
May 2016,17947.4
June 2016,17954.5
July 2016,17943.2
August 2016,17994.2
September 2016,18032.5
October 2016,18051.2
November 2016,18076.0
December 2016,18104.0
January 2017,18172.5
February 2017,18216.6
March 2017,18241.5
April 2017,18271.6
May 2017,18312.9
June 2017,18371.4
July 2017,18416.9
August 2017,18436.4
September 2017,18442.5
October 2017,18475.1
November 2017,18550.5
December 2017,18619.7
January 2018,18576.8
February 2018,18570.3
March 2018,18630.1
April 2018,18613.0
May 2018,18621.7
June 2018,18677.6
July 2018,18763.9
August 2018,18704.7
September 2018,18797.5
October 2018,18814.9
November 2018,18869.4
December 2018,18892.8
January 2019,18920.5
February 2019,18965.7
March 2019,18932.9
April 2019,19053.7
May 2019,19067.3
June 2019,19078.6
July 2019,19072.4
August 2019,19133.9
September 2019,19142.8
October 2019,19130.9
November 2019,19096.8
December 2019,19186.5
January 2020,19204.7
February 2020,19202.9
March 2020,18058.2
April 2020,16085.8
May 2020,16410.7
June 2020,17469.4
July 2020,17895.5
August 2020,18129.3
September 2020,18555.9
October 2020,18616.4
November 2020,18650.0
December 2020,18591.7
January 2021,18392.1
February 2021,18632.0
March 2021,18873.0
April 2021,18673.8
May 2021,18623.6
June 2021,18894.4
July 2021,19016.5
August 2021,19081.7
September 2021,19251.1
October 2021,19288.1
November 2021,19437.3
December 2021,19508.8
January 2022,19305.4
February 2022,19629.0
March 2022,19647.8
April 2022,19709.7
May 2022,19763.4
June 2022,19750.8
July 2022,19787.5
August 2022,19781.2
September 2022,19796.1
October 2022,19882.8
November 2022,19923.8
December 2022,19998.5
January 2023,20097.5
February 2023,20143.3
March 2023,20214.7
April 2023,20242.1
May 2023,20253.9
June 2023,20325.1
July 2023,20356.9
August 2023,20423.7
September 2023,20473.1
October 2023,20501.8
November 2023,20522.2
December 2023,20530.6
January 2024,20552.1
February 2024,20593.8
March 2024,20620.8
April 2024,20674.9
May 2024,20707.2
June 2024,20708.1
July 2024,20725.1
August 2024,20760.4
September 2024,20796.0
October 2024,20804.9
November 2024,20842.0
December 2024,20934.7
January 2025,20986.9
February 2025,20985.5
March 2025,20964.3
April 2025,20966.7
May 2025,20974.4
June 2025,21040.7
July 2025,21018.3
August 2025,20956.6
September 2025,21009.9
October 2025,21083.6
November 2025,21135.9
December 2025,21146.0
January 2026,21121.2
